2,3,4,filedFor
92343E10,"183,639","3,884,900",2013-03-31
92345Y10,"96,339","1,563,434",2013-03-31
92553P20,"243,092","3,954,000",2013-03-31
92553P20,"224,599","3,653,200",2013-03-31
92826C83,"264,179","1,555,459",2013-03-31
92927K10,"171,790","2,433,632",2013-03-31
92927K10,"115,958","1,642,693",2013-03-31
93114210,"21,701","290,000",2013-03-31
93114210,"12,721","170,000",2013-03-31
93114210,"2,207","29,500",2013-03-31
93114210,"314,286","4,200,000",2013-03-31
93114210,"114,777","1,533,840",2013-03-31
93114210,"19,156","256,000",2013-03-31
93114210,"70,789","946,000",2013-03-31
93114210,"133,871","1,789,000",2013-03-31
93114210,"63,531","849,000",2013-03-31
93114210,"2,893,893","38,672,895",2013-03-31
93114210,"38,238","511,000",2013-03-31
93964010,"66,295","148,311",2013-03-31
93964010,"289,730","648,165",2013-03-31
93964010,"399,754","894,304",2013-03-31
93964010,"16,532","36,985",2013-03-31
94974610,"247,813","6,699,470",2013-03-31
94974610,"591,840","16,000,000",2013-03-31
94974610,"196,176","5,303,500",2013-03-31
94974610,"252,008","6,812,857",2013-03-31
94974610,"2,750,540","74,359,019",2013-03-31
94974610,"30,332","820,000",2013-03-31
94974610,"62,883","1,700,000",2013-03-31
94974610,"1,334,200","36,069,200",2013-03-31
94974610,"379,776","10,267,000",2013-03-31
94974610,"2,072,116","56,018,270",2013-03-31
94974610,"8,793,384","237,723,287",2013-03-31
94974610,"103,128","2,788,000",2013-03-31
94974610,"59,544","1,609,720",2013-03-31
94974610,"73,980","2,000,000",2013-03-31
94974610,"85,001,344",,2013-03-31
02581610,"112,209","1,952,142",2012-12-31
02581610,"990,116","17,225,400",2012-12-31
02581610,"48,274","839,832",2012-12-31
02581610,"111,689","1,943,100",2012-12-31
02581610,"459,532","7,994,634",2012-12-31
02581610,"6,912,308","120,255,879",2012-12-31
02581610,"80,456","1,399,713",2012-12-31
03948310,"163,151","5,956,600",2012-12-31
06405810,"206,661","8,041,300",2012-12-31
06405810,"46,104","1,793,915",2012-12-31
06405810,"251,827","9,798,700",2012-12-31
19121610,"29,000","800,000",2012-12-31
19121610,"2,910,266","80,283,200",2012-12-31
19121610,"66,120","1,824,000",2012-12-31
19121610,"522,406","14,411,200",2012-12-31
19121610,"662,592","18,278,400",2012-12-31
19121610,"10,146,056","279,891,200",2012-12-31
19121610,"128,760","3,552,000",2012-12-31
19121610,"34,800","960,000",2012-12-31
20825C10,"58,858","1,014,974",2012-12-31
20825C10,"115,939","1,999,300",2012-12-31
20825C10,"1,224,148","21,109,637",2012-12-31
22160K10,"427,833","4,333,363",2012-12-31
23918K10,"840,905","7,607,935",2012-12-31
23918K10,"663,180","6,000,000",2012-12-31
24419910,"144,002","1,666,300",2012-12-31
24419910,"199,843","2,312,467",2012-12-31
25490A30,"553,661","11,037,900",2012-12-31
25490A30,"1,153,660","22,999,600",2012-12-31
36473010,"31,342","1,740,231",2012-12-31
36955010,"268,568","3,877,122",2012-12-31
36960410,"12,361","588,900",2012-12-31
37045V10,"432,450","15,000,000",2012-12-31
37045V10,"288,300","10,000,000",2012-12-31
37733W10,"65,661","1,510,500",2012-12-31
45920010,"16,182","84,480",2012-12-31
45920010,"114,468","597,588",2012-12-31
45920010,"90,948","474,800",2012-12-31
45920010,"12,825,923","66,958,616",2012-12-31
47816010,"22,930","327,100",2012-12-31
50076Q10,"8,761","192,666",2012-12-31
50076Q10,"67,116","1,476,048",2012-12-31
52376810,101,"88,863",2012-12-31
53032210,"304,218","2,622,340",2012-12-31
53032210,"348,030","3,000,000",2012-12-31
55261F10,"53,765","546,000",2012-12-31
55261F10,"16,227","164,795",2012-12-31
55261F10,"459,977","4,671,245",2012-12-31
57636Q10,"198,968","405,000",2012-12-31
58440410,"19,979","4,646,220",2012-12-31
60920710,"14,712","578,000",2012-12-31
60920710,"103,065","4,049,200",2012-12-31
60920710,"180,392","7,087,200",2012-12-31
60920710,"28,662","1,126,050",2012-12-31
61536910,"791,000","15,719,400",2012-12-31
61536910,"638,855","12,695,850",2012-12-31
63707110,"214,031","3,131,400",2012-12-31
63707110,"147,868","2,163,400",2012-12-31
71854610,"344,927","6,495,800",2012-12-31
71854610,"483,935","9,113,650",2012-12-31
71854610,"53,081","999,650",2012-12-31
71854610,"560,461","10,554,818",2012-12-31
74018910,"224,413","1,184,735",2012-12-31
74018910,"150,134","792,601",2012-12-31
74271810,"21,413","315,400",2012-12-31
74271810,"1,376,809","20,280,000",2012-12-31
74271810,"105,908","1,560,000",2012-12-31
74271810,"423,634","6,240,000",2012-12-31
74271810,"423,634","6,240,000",2012-12-31
74271810,"1,179,771","17,377,678",2012-12-31
74271810,"52,954","780,000",2012-12-31
80105N10,"23,145","488,500",2012-12-31
80105N10,"24,152","509,742",2012-12-31
80105N10,"8,021","169,300",2012-12-31
80105N10,"137,219","2,896,133",2012-12-31
89102710,"6,011","116,326",2012-12-31
89102710,"34,856","674,592",2012-12-31
89102710,"49,580","959,550",2012-12-31
89102710,"128,418","2,485,350",2012-12-31
90297330,"18,853","590,275",2012-12-31
90297330,"744,435","23,307,300",2012-12-31
90297330,"404,977","12,679,300",2012-12-31
90297330,"69,438","2,174,000",2012-12-31
90297330,"663,353","20,768,726",2012-12-31
90297330,"55,735","1,745,000",2012-12-31
90329340,"479,216","17,072,192",2012-12-31
91131210,"4,380","59,400",2012-12-31
92343E10,"143,079","3,685,700",2012-12-31
92345Y10,"79,688","1,563,434",2012-12-31
92553P20,"208,534","3,954,000",2012-12-31
92553P20,"192,670","3,653,200",2012-12-31
92826C83,"235,776","1,555,459",2012-12-31
92927K10,"158,648","2,433,632",2012-12-31
92927K10,"106,800","1,638,293",2012-12-31
93114210,"19,787","290,000",2012-12-31
93114210,"11,599","170,000",2012-12-31
93114210,"2,013","29,500",2012-12-31
93114210,"286,566","4,200,000",2012-12-31
93114210,"71,508","1,048,040",2012-12-31
93114210,"17,467","256,000",2012-12-31
93114210,"64,546","946,000",2012-12-31
93114210,"122,063","1,789,000",2012-12-31
93114210,"57,927","849,000",2012-12-31
93114210,"2,552,665","37,412,642",2012-12-31
93114210,"34,866","511,000",2012-12-31
93964010,"54,165","148,311",2012-12-31
93964010,"236,716","648,165",2012-12-31
93964010,"326,609","894,304",2012-12-31
93964010,"13,507","36,985",2012-12-31
94974610,"355,472","10,400,000",2012-12-31
94974610,"546,880","16,000,000",2012-12-31
94974610,"181,274","5,303,500",2012-12-31
94974610,"232,863","6,812,857",2012-12-31
94974610,"2,307,812","67,519,371",2012-12-31
94974610,"28,028","820,000",2012-12-31
94974610,"58,106","1,700,000",2012-12-31
94974610,"1,232,845","36,069,200",2012-12-31
94974610,"350,926","10,267,000",2012-12-31
94974610,"1,719,366","50,303,270",2012-12-31
94974610,"7,802,096","228,264,943",2012-12-31
94974610,"95,294","2,788,000",2012-12-31
94974610,"55,020","1,609,720",2012-12-31
94974610,"68,360","2,000,000",2012-12-31
94974610,"75,313,620",,2012-12-31
36960410,"13,374","588,900",2012-09-30
37045V10,"113,750","5,000,000",2012-09-30
37045V10,"227,500","10,000,000",2012-09-30
37733W10,"69,846","1,510,500",2012-09-30
45920010,"17,525","84,480",2012-09-30
45920010,"98,497","474,800",2012-09-30
45920010,"13,890,565","66,958,616",2012-09-30
47816010,"22,540","327,100",2012-09-30
47816010,"11,365","164,928",2012-09-30
50075N10,"23,900","578,000",2012-09-30
50075N10,"167,434","4,049,200",2012-09-30
50075N10,"293,056","7,087,200",2012-09-30
50075N10,"775,310","18,749,950",2012-09-30
52376810,"1,673","1,130,720",2012-09-30
53032210,"260,200","2,500,000",2012-09-30
53032210,"312,240","3,000,000",2012-09-30
55261F10,"51,957","546,000",2012-09-30
55261F10,"15,682","164,795",2012-09-30
55261F10,"444,516","4,671,245",2012-09-30
57636Q10,"182,849","405,000",2012-09-30
58440410,"24,067","4,646,220",2012-09-30
61536910,"694,326","15,719,400",2012-09-30
61536910,"560,776","12,695,850",2012-09-30
63707110,"162,095","2,023,400",2012-09-30
63707110,"173,310","2,163,400",2012-09-30
71854610,"301,210","6,495,800",2012-09-30
71854610,"422,600","9,113,650",2012-09-30
71854610,"46,354","999,650",2012-09-30
71854610,"489,427","10,554,818",2012-09-30
74018910,"84,545","517,600",2012-09-30
74018910,"119,451","731,301",2012-09-30
74271810,"21,876","315,400",2012-09-30
74271810,"1,406,621","20,280,000",2012-09-30
74271810,"108,202","1,560,000",2012-09-30
74271810,"432,806","6,240,000",2012-09-30
74271810,"432,806","6,240,000",2012-09-30
74271810,"1,205,316","17,377,678",2012-09-30
74271810,"54,101","780,000",2012-09-30
80105N10,"21,035","488,500",2012-09-30
80105N10,"21,949","509,742",2012-09-30
80105N10,"7,290","169,300",2012-09-30
80105N10,"124,707","2,896,133",2012-09-30
89102710,"5,973","116,326",2012-09-30
89102710,"34,640","674,592",2012-09-30
89102710,"49,273","959,550",2012-09-30
89102710,"127,623","2,485,350",2012-09-30
90297330,"20,246","590,275",2012-09-30
90297330,"799,440","23,307,300",2012-09-30
90297330,"434,900","12,679,300",2012-09-30
90297330,"74,568","2,174,000",2012-09-30
90297330,"712,367","20,768,726",2012-09-30
90297330,"59,854","1,745,000",2012-09-30
90329340,"374,735","17,072,192",2012-09-30
91131210,"4,251","59,400",2012-09-30
92345Y10,"74,435","1,563,434",2012-09-30
92553P20,"211,895","3,954,000",2012-09-30
92553P20,"195,775","3,653,200",2012-09-30
92826C83,"208,867","1,555,459",2012-09-30
92927K10,"39,189","679,532",2012-09-30
92927K10,"53,046","919,532",2012-09-30
93114210,"21,402","290,000",2012-09-30
93114210,"12,546","170,000",2012-09-30
93114210,"2,177","29,500",2012-09-30
93114210,"309,960","4,200,000",2012-09-30
93114210,"18,819","255,000",2012-09-30
93114210,"18,893","256,000",2012-09-30
93114210,"69,815","946,000",2012-09-30
93114210,"132,028","1,789,000",2012-09-30
93114210,"62,656","849,000",2012-09-30
93114210,"2,761,053","37,412,642",2012-09-30
93114210,"37,712","511,000",2012-09-30
93964010,"53,841","148,311",2012-09-30
93964010,"235,303","648,165",2012-09-30
93964010,"324,659","894,304",2012-09-30
93964010,"13,427","36,985",2012-09-30
94974610,"359,112","10,400,000",2012-09-30
94974610,"552,480","16,000,000",2012-09-30
94974610,"183,130","5,303,500",2012-09-30
94974610,"235,248","6,812,857",2012-09-30
94974610,"2,277,720","65,963,496",2012-09-30
94974610,"28,315","820,000",2012-09-30
94974610,"58,701","1,700,000",2012-09-30
94974610,"1,245,469","36,069,200",2012-09-30
94974610,"354,520","10,267,000",2012-09-30
94974610,"1,736,972","50,303,270",2012-09-30
94974610,"7,338,057","212,512,502",2012-09-30
94974610,"96,270","2,788,000",2012-09-30
94974610,"55,584","1,609,720",2012-09-30
94974610,"69,060","2,000,000",2012-09-30
94974610,"75,326,633",,2012-09-30
02581610,"113,634","1,952,142",2012-06-30
02581610,"1,002,691","17,225,400",2012-06-30
02581610,"48,887","839,832",2012-06-30
02581610,"113,108","1,943,100",2012-06-30
02581610,"465,368","7,994,634",2012-06-30
02581610,"7,000,095","120,255,879",2012-06-30
02581610,"81,477","1,399,713",2012-06-30
06405810,"176,507","8,041,300",2012-06-30
06405810,"39,376","1,793,915",2012-06-30
06405810,"195,010","8,884,300",2012-06-30
12665010,"247,759","5,301,916",2012-06-30
19121610,"31,276","400,000",2012-06-30
19121610,"3,138,672","40,141,600",2012-06-30
19121610,"71,309","912,000",2012-06-30
19121610,"563,406","7,205,600",2012-06-30
19121610,"714,594","9,139,200",2012-06-30
19121610,"10,942,346","139,945,600",2012-06-30
19121610,"138,865","1,776,000",2012-06-30
19121610,"37,531","480,000",2012-06-30
20825C10,"321,852","5,759,700",2012-06-30
20825C10,"111,721","1,999,300",2012-06-30
20825C10,"1,179,607","21,109,637",2012-06-30
22160K10,"411,669","4,333,363",2012-06-30
23918K10,"324,093","3,300,000",2012-06-30
23918K10,"589,260","6,000,000",2012-06-30
25490A10,"264,658","5,421,100",2012-06-30
25490A10,"1,122,840","22,999,600",2012-06-30
25667710,"180,623","3,320,885",2012-06-30
36473010,"25,634","1,740,231",2012-06-30
36955010,"255,735","3,877,122",2012-06-30
36960410,"104,380","5,008,625",2012-06-30
37045V10,"197,200","10,000,000",2012-06-30
37733W10,"68,833","1,510,500",2012-06-30
45920010,"2,367","12,100",2012-06-30
45920010,"13,032,140","66,633,296",2012-06-30
47816010,"82,916","1,227,300",2012-06-30
47816010,"133,407","1,974,648",2012-06-30
47816010,"64,807","959,250",2012-06-30
47816010,"273,054","4,041,657",2012-06-30
47816010,"105,074","1,555,273",2012-06-30
47816010,"38,847","575,000",2012-06-30
50075N10,"86,885","2,249,740",2012-06-30
50075N10,"207,419","5,370,766",2012-06-30
50075N10,"386,200","10,000,000",2012-06-30
50075N10,"1,591,371","41,205,884",2012-06-30
52376810,"5,226","3,225,822",2012-06-30
53032210,"219,775","2,500,000",2012-06-30
53032210,"263,730","3,000,000",2012-06-30
55261F10,"45,083","546,000",2012-06-30
55261F10,"13,607","164,795",2012-06-30
55261F10,"385,705","4,671,245",2012-06-30
57636Q10,"174,195","405,000",2012-06-30
61536910,"574,544","15,719,400",2012-06-30
61536910,"464,033","12,695,850",2012-06-30
63707110,"120,380","1,868,100",2012-06-30
63707110,"62,707","973,100",2012-06-30
71854610,"215,920","6,495,800",2012-06-30
71854610,"302,938","9,113,650",2012-06-30
71854610,"33,228","999,650",2012-06-30
71854610,"350,842","10,554,818",2012-06-30
74271810,"73,716","1,203,525",2012-06-30
74271810,"1,242,150","20,280,000",2012-06-30
74271810,"95,550","1,560,000",2012-06-30
74271810,"382,200","6,240,000",2012-06-30
74271810,"382,200","6,240,000",2012-06-30
74271810,"1,427,044","23,298,678",2012-06-30
74271810,"47,775","780,000",2012-06-30
80105N10,"18,456","488,500",2012-06-30
80105N10,"19,258","509,742",2012-06-30
80105N10,"6,396","169,300",2012-06-30
80105N10,"109,416","2,896,133",2012-06-30
89102710,"5,880","116,326",2012-06-30
89102710,"34,101","674,592",2012-06-30
89102710,"48,505","959,550",2012-06-30
89102710,"125,634","2,485,350",2012-06-30
90297330,"171,297","5,326,387",2012-06-30
90297330,"749,563","23,307,300",2012-06-30
90297330,"407,766","12,679,300",2012-06-30
90297330,"69,916","2,174,000",2012-06-30
90297330,"667,922","20,768,726",2012-06-30
90297330,"56,119","1,745,000",2012-06-30
90329340,"325,225","17,072,192",2012-06-30
91131210,"20,627","261,900",2012-06-30
92345Y10,"92,208","1,871,871",2012-06-30
92553P20,"185,917","3,954,000",2012-06-30
92553P20,"134,440","2,859,200",2012-06-30
92826C83,"257,108","2,079,659",2012-06-30
93114210,"20,219","290,000",2012-06-30
93114210,"11,852","170,000",2012-06-30
93114210,"2,057","29,500",2012-06-30
93114210,"292,824","4,200,000",2012-06-30
93114210,"17,779","255,000",2012-06-30
93114210,"17,848","256,000",2012-06-30
93114210,"65,955","946,000",2012-06-30
93114210,"124,729","1,789,000",2012-06-30
93114210,"59,192","849,000",2012-06-30
93114210,"2,608,409","37,412,642",2012-06-30
93114210,"35,627","511,000",2012-06-30
93964010,"55,442","148,311",2012-06-30
93964010,"242,297","648,165",2012-06-30
93964010,"334,309","894,304",2012-06-30
93964010,"13,826","36,985",2012-06-30
94974610,"347,776","10,400,000",2012-06-30
94974610,"535,040","16,000,000",2012-06-30
94974610,"177,349","5,303,500",2012-06-30
94974610,"227,822","6,812,857",2012-06-30
94974610,"2,205,819","65,963,496",2012-06-30
94974610,"27,421","820,000",2012-06-30
94974610,"56,848","1,700,000",2012-06-30
94974610,"1,191,236","35,623,100",2012-06-30
94974610,"343,328","10,267,000",2012-06-30
94974610,"1,682,141","50,303,270",2012-06-30
94974610,"6,736,632","201,454,302",2012-06-30
94974610,"93,231","2,788,000",2012-06-30
94974610,"53,829","1,609,720",2012-06-30
94974610,"66,880","2,000,000",2012-06-30
G4779110,860,"20,400",2012-06-30
G4779110,"74,321,382",,2012-06-30
19121610,"10,357,374","139,945,600",2012-03-31
19121610,"131,442","1,776,000",2012-03-31
19121610,"35,525","480,000",2012-03-31
20825C10,"455,452","5,992,000",2012-03-31
20825C10,"151,967","1,999,300",2012-03-31
20825C10,"1,604,544","21,109,637",2012-03-31
22160K10,"393,469","4,333,363",2012-03-31
23918K10,"541,020","6,000,000",2012-03-31
25490A10,"1,134,800","22,999,600",2012-03-31
25667710,"168,037","3,637,164",2012-03-31
36473010,"26,678","1,740,231",2012-03-31
36955010,"284,503","3,877,122",2012-03-31
36960410,"156,102","7,777,900",2012-03-31
37045V10,"256,500","10,000,000",2012-03-31
37733W10,"67,837","1,510,500",2012-03-31
45814010,"217,751","7,745,000",2012-03-31
45920010,"13,436,163","64,395,700",2012-03-31
47816010,"285,112","4,322,500",2012-03-31
47816010,"130,248","1,974,648",2012-03-31
47816010,"919,274","13,936,841",2012-03-31
47816010,"266,588","4,041,657",2012-03-31
47816010,"140,627","2,132,000",2012-03-31
47816010,"134,260","2,035,481",2012-03-31
47816010,"37,927","575,000",2012-03-31
50075N10,"304,080","8,000,000",2012-03-31
50075N10,"665,763","17,515,481",2012-03-31
50075N10,"380,100","10,000,000",2012-03-31
50075N10,"1,615,489","42,501,684",2012-03-31
53032210,"264,450","3,000,000",2012-03-31
55261F10,"47,436","546,000",2012-03-31
55261F10,"14,317","164,795",2012-03-31
55261F10,"405,838","4,671,245",2012-03-31
57636Q10,"170,319","405,000",2012-03-31
61536910,"661,787","15,719,400",2012-03-31
61536910,"534,495","12,695,850",2012-03-31
74271810,"294,044","4,375,000",2012-03-31
74271810,"1,363,019","20,280,000",2012-03-31
74271810,"104,848","1,560,000",2012-03-31
74271810,"419,390","6,240,000",2012-03-31
74271810,"419,390","6,240,000",2012-03-31
74271810,"2,270,296","33,779,136",2012-03-31
74271810,"52,424","780,000",2012-03-31
80105N10,"18,929","488,500",2012-03-31
80105N10,"19,753","509,742",2012-03-31
80105N10,"6,560","169,300",2012-03-31
80105N10,"112,225","2,896,133",2012-03-31
89102710,"5,799","116,326",2012-03-31
89102710,"33,628","674,592",2012-03-31
89102710,"47,834","959,550",2012-03-31
89102710,"123,895","2,485,350",2012-03-31
90297330,"265,003","8,365,000",2012-03-31
90297330,"738,375","23,307,300",2012-03-31
90297330,"401,680","12,679,300",2012-03-31
90297330,"68,872","2,174,000",2012-03-31
90297330,"657,953","20,768,726",2012-03-31
90297330,"55,282","1,745,000",2012-03-31
90329340,"293,642","17,072,192",2012-03-31
91131210,"115,365","1,429,200",2012-03-31
92345Y10,"104,750","2,230,148",2012-03-31
92553P20,"75,541","1,591,670",2012-03-31
92826C83,"338,071","2,865,008",2012-03-31
93114210,"17,748","290,000",2012-03-31
93114210,"10,404","170,000",2012-03-31
93114210,"1,805","29,500",2012-03-31
93114210,"257,040","4,200,000",2012-03-31
93114210,"15,606","255,000",2012-03-31
93114210,"15,667","256,000",2012-03-31
93114210,"57,895","946,000",2012-03-31
93114210,"109,487","1,789,000",2012-03-31
93114210,"51,959","849,000",2012-03-31
93114210,"2,289,654","37,412,642",2012-03-31
93114210,"31,273","511,000",2012-03-31
93964010,"55,405","148,311",2012-03-31
93964010,"242,135","648,165",2012-03-31
93964010,"334,085","894,304",2012-03-31
93964010,"13,816","36,985",2012-03-31
94974610,"355,056","10,400,000",2012-03-31
94974610,"546,240","16,000,000",2012-03-31
94974610,"179,235","5,250,000",2012-03-31
94974610,"232,591","6,812,857",2012-03-31
94974610,"2,251,994","65,963,496",2012-03-31
94974610,"27,995","820,000",2012-03-31
94974610,"58,038","1,700,000",2012-03-31
94974610,"1,134,923","33,243,200",2012-03-31
94974610,"327,362","9,588,800",2012-03-31
94974610,"1,717,354","50,303,270",2012-03-31
94974610,"6,413,390","187,855,585",2012-03-31
94974610,"95,182","2,788,000",2012-03-31
94974610,"54,956","1,609,720",2012-03-31
94974610,"68,280","2,000,000",2012-03-31
G4779110,"26,299","636,000",2012-03-31
G4779110,"75,300,250",,2012-03-31
02581610,"812,522","17,225,400",2011-12-31
02581610,"377,107","7,994,634",2011-12-31
02581610,"5,672,470","120,255,879",2011-12-31
02581610,"91,656","1,943,100",2011-12-31
02581610,"66,024","1,399,713",2011-12-31
02581610,"39,615","839,832",2011-12-31
02581610,"92,082","1,952,142",2011-12-31
06405810,"35,717","1,793,915",2011-12-31
12665010,"289,803","7,106,500",2011-12-31
19121610,"27,988","400,000",2011-12-31
19121610,"124,267","1,776,000",2011-12-31
19121610,"504,176","7,205,600",2011-12-31
19121610,"2,808,708","40,141,600",2011-12-31
19121610,"9,791,994","139,945,600",2011-12-31
19121610,"639,470","9,139,200",2011-12-31
19121610,"33,586","480,000",2011-12-31
19121610,"63,813","912,000",2011-12-31
20033410,"7,187","1,218,199",2011-12-31
20033410,"1,787","302,963",2011-12-31
20033410,101,"17,215",2011-12-31
20825C10,"1,538,259","21,109,637",2011-12-31
20825C10,"145,689","1,999,300",2011-12-31
20825C10,"436,637","5,992,000",2011-12-31
22160K10,"361,056","4,333,363",2011-12-31
23918K10,"203,512","2,684,500",2011-12-31
25490A10,"870,098","20,348,400",2011-12-31
25667710,"185,017","4,497,247",2011-12-31
36473010,"23,267","1,740,231",2011-12-31
36955010,"257,480","3,877,122",2011-12-31
36960410,"139,302","7,777,900",2011-12-31
37733W10,"68,924","1,510,500",2011-12-31
G4776G10,"19,379","636,600",2011-12-31
45814010,"278,754","11,495,000",2011-12-31
45920010,"11,751,023","63,905,931",2011-12-31
47816010,"283,470","4,322,500",2011-12-31
47816010,"129,497","1,974,648",2011-12-31
47816010,"90,814","1,384,781",2011-12-31
47816010,"913,978","13,936,841",2011-12-31
47816010,"139,817","2,132,000",2011-12-31
47816010,"37,708","575,000",2011-12-31
47816010,"307,725","4,692,357",2011-12-31
50075N10,"1,872,258","50,113,984",2011-12-31
50075N10,"697,172","18,660,929",2011-12-31
50075N10,"373,600","10,000,000",2011-12-31
50075N10,"9,706","259,800",2011-12-31
50075N10,"298,880","8,000,000",2011-12-31
53032210,"132,794","1,701,400",2011-12-31
55261F10,"356,603","4,671,245",2011-12-31
55261F10,"41,682","546,000",2011-12-31
55261F10,"12,580","164,795",2011-12-31
57636Q10,"150,992","405,000",2011-12-31
61536910,"427,596","12,695,850",2011-12-31
61536910,"529,429","15,719,400",2011-12-31
74271810,"2,487,685","37,291,036",2011-12-31
74271810,"1,352,879","20,280,000",2011-12-31
74271810,"416,270","6,240,000",2011-12-31
74271810,"416,270","6,240,000",2011-12-31
74271810,"52,034","780,000",2011-12-31
74271810,"104,068","1,560,000",2011-12-31
74271810,"291,856","4,375,000",2011-12-31
80105N10,"17,850","488,500",2011-12-31
80105N10,"105,825","2,896,133",2011-12-31
80105N10,"6,186","169,300",2011-12-31
80105N10,"18,626","509,742",2011-12-31
89102710,"5,047","116,326",2011-12-31
89102710,"29,270","674,592",2011-12-31
89102710,"107,839","2,485,350",2011-12-31
89102710,"41,635","959,550",2011-12-31
90297330,"630,462","23,307,300",2011-12-31
90297330,"561,797","20,768,826",2011-12-31
90297330,"226,273","8,365,000",2011-12-31
90297330,"58,807","2,174,000",2011-12-31
90297330,"47,202","1,745,000",2011-12-31
90297330,"342,975","12,679,300",2011-12-31
90329340,"173,453","17,072,192",2011-12-31
91131210,"104,603","1,429,200",2011-12-31
92345Y10,"138,249","3,445,029",2011-12-31
92826C83,"290,884","2,865,008",2011-12-31
93114210,"2,025,335","33,891,142",2011-12-31
93114210,"250,992","4,200,000",2011-12-31
93114210,"56,533","946,000",2011-12-31
93964010,"336,983","894,304",2011-12-31
93964010,"55,885","148,311",2011-12-31
93964010,"244,235","648,165",2011-12-31
93964010,"13,936","36,985",2011-12-31
94974610,"1,817,954","65,963,496",2011-12-31
94974610,"38,584","1,400,000",2011-12-31
94974610,"1,283,215","46,560,770",2011-12-31
94974610,"76,837","2,788,000",2011-12-31
94974610,"27,560","1,000,000",2011-12-31
94974610,"5,177,300","187,855,585",2011-12-31
94974610,"44,364","1,609,720",2011-12-31
94974610,"46,852","1,700,000",2011-12-31
94974610,"22,599","820,000",2011-12-31
94974610,"916,183","33,243,200",2011-12-31
94974610,"440,960","16,000,000",2011-12-31
94974610,"220,480","8,000,000",2011-12-31
94974610,"74,412","2,700,000",2011-12-31
94974610,"55,120","2,000,000",2011-12-31
94974610,"144,690","5,250,000",2011-12-31
94974610,"187,762","6,812,857",2011-12-31
45814010,"199,167","9,333,000",2011-09-30
45920010,"10,028,617","57,348,984",2011-09-30
47816010,"275,300","4,322,500",2011-09-30
47816010,"125,765","1,974,648",2011-09-30
47816010,"625,018","9,813,442",2011-09-30
47816010,"887,637","13,936,841",2011-09-30
47816010,"135,787","2,132,000",2011-09-30
47816010,"36,622","575,000",2011-09-30
47816010,"298,856","4,692,357",2011-09-30
50075N10,"1,739,625","51,805,384",2011-09-30
50075N10,"660,906","19,681,524",2011-09-30
50075N10,"335,800","10,000,000",2011-09-30
50075N10,"8,724","259,800",2011-09-30
50075N10,"268,640","8,000,000",2011-09-30
55261F10,"326,520","4,671,245",2011-09-30
55261F10,"38,165","546,000",2011-09-30
55261F10,"11,519","164,795",2011-09-30
57636Q10,"128,450","405,000",2011-09-30
61536910,"386,589","12,695,850",2011-09-30
